id,name,card_no,card_provider,shop_no,shop_name,loc,prd_name,price,result,txdate
jeongungjo,ê¹__,3.40159E+14,VISA 16 digit,15988208,¬ë¦¬ë¸__,"37.5761, 126.8119",ê¹ì¹__ê°,6000,¹ì_,2022.12.3 13:04
seunghyeon14,´ì_,4.59733E+15,Discover,25055625,µë___,"37.5411, 126.9915",ì¦__¬ê_¬ì_,15000,¹ì_,2022.12.5 8:36
sunjai,´ì_ì¤,3.74633E+14,VISA 16 digit,27797613,__´ë¦°´ì_,"37.6381, 127.0638",__,7000,¹ì_,2022.12.4 3:00
xsong,ê°__,6.50242E+15,VISA 19 digit,24963583,ë§_³µ__,"37.5373, 126.8666",ë§__êµ,5000,¹ì_,2022.12.2 11:23
jgim,ë°_,4.8735E+15,Mastercard,24722641,__ì¶____,"37.5528, 126.8187",ì»¤í_,8000,¹ì_,2022.12.3 21:15
ugang,¤ìê²,1.80002E+14,Discover,26164439,ë¯¸ê·¸ë¦°ë©ì_,"37.4986, 127.1424",_êµ,6000,¹ì_,2022.12.2 10:00
siugweon,ì¡°ì_,2.13179E+14,Mastercard,24419911,ê·¸ë¦°__,"37.5871, 126.9327",__ì°__,4000,¹ì_,2022.12.3 14:48
jiweon10,ê¹ë¯¼ì_,3.02034E+13,JCB 15 digit,17036426,¸ë_ë¸__,"37.5537, 126.8479",ì»¤í_,8000,¹ì_,2022.12.1 9:19
psong,ìµ__,3.51098E+15,Discover,22840584,¼ì_°ì_,"37.4834, 127.0121",ì¹__,12000,¹ì_,2022.12.5 10:18
cgim,¬ì_ì¤,3.82284E+13,VISA 13 digit,10795205,°ë_ì§´ê³µ¸ì_ê°__¬ë¬´,"37.5472, 126.8322",¼ë©´,3000,¹ì_,2022.11.30 3:51
jiweon67,_,2.26073E+15,American Express,16456775,´ì___êµ__,"37.5, 127.0593",_©´(ë¬),4500,¹ì_,2022.12.5 7:55
yeongsigjeong,ê¹__,3.43547E+14,Mastercard,24207769,_¦¬___°©,"37.4522, 126.9088", ë³¶ì_ë° ,6000,¹ì_,2022.12.1 8:06
igim,´ë,3.56231E+15,American Express,16499834,____,"37.5534, 126.8707",¹ì_,40000,¹ì_,2022.11.29 17:22
sunog89,ë°__,2.13138E+14,Discover,23096350,ë°_¦¬¸í_,"37.5063, 127.0515",__ë¶ì°__,4900,¹ì_,2022.12.5 6:15
sgim,ê¹ì£¼ì_,4.16997E+12,VISA 16 digit,22540401,¼ì_C&C,"37.5046, 126.8769",ì»¤í_(±ì_),6000,¹ì_,2022.11.28 19:51
xheo,ê¹__,1.80066E+14,VISA 16 digit,24931281,°ì___êµ__,"37.6381, 127.0717",ê¹ì¹__ê°,4000,¹ì_,2022.12.2 20:35
lhan,_²½,4.31552E+15,VISA 16 digit,22401010,__ì°¨ì_ë¦,"37.6735, 127.0512",_©´,6000,¹ì_,2022.12.2 4:11
junyeong84,ê¹ëª__,4.14243E+12,VISA 16 digit,24866256,ë¶ë¯,"37.5109, 126.9353",ì»¤í_,7000,¹ì_,2022.12.3 12:57
gimjinu,ê°__ë¯,4.30546E+15,VISA 13 digit,26365961,´ìë§__24,"37.61, 127.0475",__êµ¬ì_,5000,¹ì_,2022.11.29 8:34
wgim,ê¹__,4.64989E+18,Discover,22395640,____,"37.6049, 127.0379",ì»·í_,5000,¹ì_,2022.12.5 11:09
bagseongho,__ì§,3.59285E+15,JCB 16 digit,25991339,ì½__¸ì_ì½_¦¬__´ì_¬ë¦¼¤ë¬´__,"37.462, 127.0361",ê¹ì¹__ê°,5000,¹ì_,2022.11.28 9:05
yeongilgim,´ì_,2.22164E+15,Diners Club / Carte Blanche,25758710,ì´____,"37.579, 126.9854",ì½©ë_ë¬¼êµ­ë°,5500,¹ì_,2022.11.28 20:20
sgim,ê°_²½,3.73129E+14,JCB 15 digit,25392501,ê´__ê°,"37.5717, 126.9804",__,25000,¹ì_,2022.12.1 8:44
gweonjeonghun,ê¹ì§,4.49812E+12,VISA 13 digit,25090382,°ë¦¬_¸°ì¡°ë_,"37.6074, 126.9245",__ì°__,6000,¹ì_,2022.12.2 18:45
baggwangsu,ì£¼ì_,2.70105E+15,VISA 19 digit,23065345,ê¸¸ë©ì_,"37.6021, 127.0925",ë¬¼ë_ë©,4500,¹ì_,2022.12.1 1:55
ui,ë°_,3.42299E+14,VISA 19 digit,19996512,CU___,"37.589, 127.0049",__ì°__,4000,¹ì_,2022.12.4 0:26
siu72,ê¹__,2.26657E+15,Mastercard,20979521,ë¹__¤ì´ì_¼ë_´ì_,"37.4839, 127.0345",__,30000,¹ì_,2022.11.29 10:37
yangminjae,ìµ_,3.78449E+14,JCB 16 digit,20656596,ê·¸ë¦°¸í_,"37.4533, 126.9081",_³µ¸í_ë£,5000,¹ì_,2022.12.3 7:25
ggim,´ì,4.60315E+15,Maestro,17166237,¸ë_ë¥,"37.5279, 127.035",ë°___,3000,¹ì_,2022.12.3 8:16
pi,__,6.01112E+15,VISA 19 digit,16457734,6__,"37.5625, 127.0057",ì»¤í_,8000,¹ì_,2022.11.29 4:33
seunghyeonjang,¤ê_,6.3903E+11,Diners Club / Carte Blanche,12242934,____,"37.5563, 126.9552",__,15000,¹ì_,2022.12.5 17:06
kjo,ê¹__,3.57224E+15,VISA 19 digit,26287923,CUê´_ë¦¼ì_,"37.4678, 126.9322",__,13000,¹ì_,2022.12.5 6:29
ki,_,6.52765E+15,Mastercard,28032356,¸ë_°¨´ë¦°´ì_,"37.5104, 127.1189",ë¹__ë°,7000,¹ì_,2022.12.4 3:53
seongsu40,__,4.72367E+15,American Express,20801474,¬ë¦°____ì´__±ì_,"37.5647, 126.8457",__ __,4000,¹ì_,2022.11.28 13:43
fna,¤í_,3.55588E+15,Discover,26367820,´ì_,"37.5729, 126.9603",ì°¨ë___ì°__,6000,¹ì_,2022.12.1 7:24
hyeonsugi,´ì_,5.7346E+11,Maestro,24684514,°ì_ë®¤ì_¸ë¦¬____,"37.5052, 127.1178",ì½__ë¸_£¨,3900,¹ì_,2022.12.1 5:22
seonyeong33,_,3.03156E+13,American Express,21893828,±ì_,"37.5675, 126.8414",ì»¤í_,8000,¹ì_,2022.12.3 15:46
migyeonggim,´ì_,3.78831E+14,VISA 16 digit,22380199,___,"37.6529, 127.0381",ì»¤í_,8000,¹ì_,2022.11.29 11:08
jihyeoni,ë°_ì§,3.52131E+15,JCB 15 digit,24561190,ê°_¹êµ¬,"37.4928, 127.1467",ì§¬ë_,4000,¹ì_,2022.12.3 8:23
hyeonsugsim,ê¹__,2.13102E+14,Diners Club / Carte Blanche,16635802,ì½__ë³´í_&ì¹__,"37.5544, 126.8589",ëª©ì_ë£,5000,¹ì_,2022.12.2 15:04
sumin25,´ë_,3.5398E+15,JCB 16 digit,24536092,¤ì__·°,"37.5369, 127.0829",ì»¤í_,5000,¹ì_,2022.12.4 11:16
ogweon,¥ì_ì§,3.51774E+15,JCB 16 digit,24435013,__ê¸__,"37.6463, 127.0589",ë¯¸ì_ë£(ì»¤í_),10000,¹ì_,2022.12.5 15:06
jaehogim,__,3.83265E+13,VISA 16 digit,16639825,__°ë_ë¦_¤í_,"37.5746, 126.9895",¼ê²¹(__200g),6000,¹ì_,2022.11.29 1:01
jinsanghyeon,ê¹__,3.58537E+15,VISA 13 digit,26420412,ìª¼ë_ìª¼ë_,"37.4699, 127.0252",____,6000,¹ì_,2022.12.4 9:09
eunyeongmun,´ì_,6.51407E+15,Discover,16172232,MDB¤ì_,"37.5264, 127.0354",_³µ_°¥,7000,¹ì_,2022.12.4 13:00
ogim,¤ì,4.0649E+15,Diners Club / Carte Blanche,17166673,ì´¬ì_ë¦,"37.5705, 127.0652",ë¯¸ì_ë£(ì»¤í_),8000,¹ì_,2022.11.30 21:44
jieunhong,©ì_,4.57201E+12,American Express,11983213,ì²_,"37.5045, 127.0581",¼ì__ë¹(250g),13000,¹ì_,2022.11.29 3:57
geonu53,ê¹¤ì_,4.85619E+15,American Express,26524114,__,"37.5752, 126.9995",´ë¬¼ì¹¼êµ­,7000,¹ì_,2022.11.30 8:24
gimjeongsu,ë°_,3.58305E+15,VISA 19 digit,24296148,ì§¸ì_¤ë_,"37.5388, 126.8338",¡ë³¶,1500,¹ì_,2022.11.29 11:30
sunja74,ê¹ê²½í_,4.76247E+15,VISA 16 digit,25235030,GS25,"37.5195, 127.052",ì°__ë° ´ì_ë£,7000,¹ì_,2022.12.4 4:34
sinyeweon,_,6.52039E+15,VISA 13 digit,16450130,ì¤__,"37.5407, 126.8945",__ì°__ë°±ë_,5000,¹ì_,2022.12.3 23:52
seoyeong87,´ë,4.68378E+15,Mastercard,25519318,__ë¶__,"37.4686, 127.0442",__ë©,3500,¹ì_,2022.12.1 2:50
gimmijeong,ê¹__,6.57955E+15,Mastercard,12487550,ìµ_¤ë__³¨ì¶__,"37.5743, 127.0847",¸í_ë£,5500,¹ì_,2022.11.29 19:13
mbae,ê¹__,2.42654E+15,VISA 16 digit,20657582,ì¤__ë£,"37.587, 127.0808",_¹¼êµ_,6000,¹ì_,2022.12.1 7:42
yeji90,ê¹__,3.56503E+15,American Express,16110876,____¤ë_,"37.452, 126.9137",_©´,5000,¹ì_,2022.12.5 0:59
di,ë°__,2.71705E+15,VISA 19 digit,25685811,ì»¤í___¼ì___,"37.6318, 127.0505",ê°__,6000,¹ì_,2022.12.3 19:45
hayun06,__,2.23851E+15,Discover,22962416,,"37.622, 127.0618",¼ê²¹(200g),12000,¹ì_,2022.12.4 8:40
baggyeonghyi,ë°_,5.03819E+11,VISA 19 digit,12640729,¤í__ëª,"37.537, 127.0729",__ë³¶ì_,6000,¹ì_,2022.12.1 22:38
ii,¨ì_,4.63284E+12,Diners Club / Carte Blanche,24508560,ë©,"37.5424, 126.8365",¼ìê°__,10000,¹ì_,2022.12.4 6:31
xgim,ê¹±ì_,4.59179E+18,JCB 15 digit,17263943,ì¹´í_¤ë¦¬ë²,"37.5352, 126.9025",ê¹ì¹__ê°,7000,¹ì_,2022.12.1 13:13
jeonghuncoe,__ë¯,6.75986E+11,Mastercard,25840202,ë¡__¤íë¡__¸í_,"37.5644, 126.9858",ê¹ì¹__ê°,5000,¹ì_,2022.11.28 22:29
ihyeonjun,¨ë_ì²,3.00775E+13,Diners Club / Carte Blanche,12441819,´ë_ë¥¼ë¦°,"37.5764, 126.9303",__,18000,¹ì_,2022.12.3 21:33
eunyeonggweon,´ì_,3.02752E+13,JCB 15 digit,23233456,_ª¬ì¿__¤í___,"37.6238, 127.0732",_©´,4000,¹ì_,2022.12.1 21:29
angwangsu,¬ì_ë¯,1.80029E+14,VISA 13 digit,25039507,__,"37.5561, 127.0867",ê¹ì¹__ê°,6000,¹ì_,2022.12.5 17:52
bagjungsu,ê¹__,3.59977E+15,VISA 16 digit,22417521,__ì£¼ë_´ë___,"37.5323, 126.8576",¼ê²¹(__ 170g),6000,¹ì_,2022.11.28 14:27
gcoe,ì¡°ì_,2.28379E+15,Mastercard,26505997,__ë¯¸ì_,"37.4844, 126.8531",__ë³¶ì_,6000,¹ì_,2022.12.3 19:41
hyeonjeongbag,ë°__ì²,3.58053E+15,VISA 16 digit,24048377,ì¢_¬ë_,"37.6482, 127.0339",__ë©,2500,¹ì_,2022.12.1 3:10
gimjihu,ë¥__,4.36749E+15,JCB 15 digit,12117783,ê¶__,"37.5679, 127.0197",¼ë©´,3000,¹ì_,2022.12.1 5:55
yeongjinseong,ê¹__,6.01104E+15,Diners Club / Carte Blanche,16590045,ë©_ì»¤í_,"37.4887, 127.0677",ê¹ë°,1000,¹ì_,2022.11.30 7:45
boramha,ë°°í_,4.19768E+12,American Express,16499153,¤ì_ì½____,"37.5495, 127.0512",__ë°,7000,¹ì_,2022.12.1 18:26
jiyeongan,__ë¯,5.70167E+11,JCB 16 digit,17166673,ì´¬ì_ë¦,"37.5705, 127.0652",ì»·í_,10000,¹ì_,2022.12.3 18:08
yi,´ì_,3.03901E+13,Maestro,24878920,GS25,"37.5567, 126.9078",_£¼__ê²¹ì_(200g),9000,¹ì_,2022.12.2 8:54
coemyeongja,´ì_ì§,4.13187E+12,Mastercard,26252689,¬ì_¤ì_,"37.6143, 127.0791",¸í_ë£,5500,¹ì_,2022.12.1 12:22
jiabag,ìµ_,4.25502E+15,Diners Club / Carte Blanche,16092505,¸ë_,"37.6119, 127.0756",ì»¤í_,8000,¹ì_,2022.12.5 21:09
gimsugja,ê¹ê²½ì_,4.95153E+12,Maestro,17456944,ëª¨ì___,"37.6, 127.0975",¬ì_ ì´¬ì_ë£,10000,¹ì_,2022.12.3 15:59
jieuni,´ë³´,2.28478E+15,JCB 16 digit,21977236,______,"37.4727, 126.9337",¼ì_(ë¶__ê¸),13900,¹ì_,2022.12.3 11:22
yunseohong,ë°__,3.53576E+15,Mastercard,23016525,¸ì_´ë_ê´,"37.5357, 126.8644",_©´,5000,¹ì_,2022.12.1 3:12
vgim,¡ì_,3.58093E+15,VISA 16 digit,21775679,__ë¦¬ê,"37.5382, 127.0864",ë¯¸ì_ë£(ì»¤í_),10000,¹ì_,2022.12.4 7:01
gimyunseo,´í_,3.51115E+15,VISA 13 digit,24356636,ëª___¸°,"37.5722, 126.9876",ê¹ì¹__ê°,6000,¹ì_,2022.11.30 15:16
sanghun07,ë°_,4.02327E+15,Diners Club / Carte Blanche,22366907,__¬ì_,"37.5192, 127.02",_©´,4000,¹ì_,2022.12.5 16:14
bagujin,__,4.62585E+15,JCB 16 digit,22809495,____,"37.5122, 126.8507",ë¹__ë°,4900,¹ì_,2022.12.1 21:01
areum34,ê¹__,6.58605E+15,VISA 16 digit,20853219,ì§_³´ë¦,"37.5004, 127.0102",__êµ¬ì_,7000,¹ì_,2022.11.28 13:36
junseobae,__ì§,4.5867E+18,JCB 16 digit,25444822,µì_ë¦¬ë_,"37.5672, 127.0584",ì§¬ë_,5000,¹ì_,2022.11.30 8:33
agim,¡ì_,2.13124E+14,Mastercard,15556687,ê¸____,"37.5072, 127.1058",_¹¼êµ_,6000,¹ì_,2022.11.28 15:12
lcoe,´ëê²,4.49427E+15,Maestro,11925995,ê±°ì_,"37.6562, 127.0309",ì»¤í_(),6000,¹ì_,2022.12.5 15:49
coejeongsun,ì§__ì§,4.23625E+12,Mastercard,14209011,ê¸°í__¸°,"37.57, 126.9934",ì»¤í_,7000,¹ì_,2022.11.30 2:40
ggwag,´ì_,1.80098E+14,VISA 16 digit,25179675,´ë_____êµ____êµ__,"37.4852, 126.994",¼ê²¹(200g),11000,¹ì_,2022.12.1 7:39
migyeong94,ìµ__ì²,3.55685E+15,Mastercard,22761095,¬ë_ë°©ê¸°,"37.5338, 126.9027",__ì°__ë°±ë_,6500,¹ì_,2022.12.3 0:30
mijeong45,ë°__ë¹,6.01172E+15,VISA 16 digit,25133118,ë¨¸ë¦¬ë°,"37.4922, 126.9297",¤ë_,6000,¹ì_,2022.11.30 8:23
tsim,¡ë_,4.51714E+15,Maestro,23295839,ê¹ëª__¤ì_¼ì_,"37.6063, 126.9104",ì»¤í_(±ì_),6000,¹ì_,2022.12.4 16:59
jinjaehyeon,´ì_,4.52852E+18,VISA 13 digit,20298937,ê³µê¸°,"37.6553, 127.0614",ë¶__ê¸°ë_ë°,6500,¹ì_,2022.11.30 13:32
juweoni,__,4.25724E+18,Diners Club / Carte Blanche,24912434,¨êµ­____,"37.4896, 126.9692",__ì°__ë°±ë_,4000,¹ì_,2022.12.1 0:05
coeyeonghwan,ê¹ë¯¸ê²½,3.5838E+15,JCB 16 digit,12013765,___,"37.6095, 127.0618",_êµ,6000,¹ì_,2022.11.30 7:41
fbag,ë¬¸ë_,2.28521E+15,Mastercard,24314352,¸ë___,"37.5626, 127.062",__êµ_,5000,¹ì_,2022.12.3 15:08
hongeunyeong,_,4.71496E+15,VISA 19 digit,26041232,êµ½ë_ì¹__±ì_1¸ì_,"37.5504, 127.0505",__ë¦¬ì¹´,1500,¹ì_,2022.12.5 11:30
ocoe,ê¹ë¯¼ì_,2.71715E+15,Diners Club / Carte Blanche,24893301,ì¼´ì_ì¼,"37.4799, 126.877",ì§¬ë_,5500,¹ì_,2022.12.3 7:02
jangsubin,ë¯¼ì_,3.01443E+13,JCB 16 digit,26193522,ë´__,"37.5832, 126.8949",ì¹¼êµ­,4000,¹ì_,2022.12.5 10:21
eunjeong50,¡ì_,4.55046E+15,Diners Club / Carte Blanche,20472532,ë³´ì___,"37.5403, 126.8917",ì§¬ë_,3500,¹ì_,2022.12.3 15:20
ngim,ê¹ì§,4.94268E+15,VISA 16 digit,12437648,24__ì£¼ì½©_¬¼êµ°¥,"37.5171, 126.8878",ì¹¼êµ­,3000,¹ì_,2022.12.2 2:17
jeonghyi78,_²½,4.85467E+12,VISA 16 digit,24344153,ì§___¸°ì¡°ë_,"37.6585, 127.0692",ì»·í_(__),6000,¹ì_,2022.12.5 10:00
coejeongung,´ì_,5.3884E+15,American Express,24838796,______,"37.4479, 126.9007",´ë_,7000,¹ì_,2022.11.29 8:42
yeongceolgim,´ë,5.01852E+11,VISA 16 digit,23247325,ê·¸ë¦°ë§__,"37.5069, 127.0875",ì»·í_(±ì_),6000,¹ì_,2022.11.28 15:30
bagjunseo,´ì,2.13135E+14,Maestro,25092243,ë¸_£¨ë²_¦¬,"37.6391, 127.0649",ì½©ë_ë¬¼í_¥êµ­,4000,¹ì_,2022.11.29 13:54
hyeonsug93,ë°±í_,4.64364E+18,Mastercard,27728524,__ê·¸ë¦¼__´ë°©,"37.6542, 127.0663",__ì»¤í_,2000,¹ì_,2022.12.2 23:35
suminheo,´ì_,3.53356E+15,VISA 19 digit,25012871,êµ_ê¸_±°__,"37.5728, 126.9919",____,4000,¹ì_,2022.12.5 20:36
jogwangsu,_£¼,3.44809E+14,Maestro,12325735,°í_,"37.5707, 127.0073",ì¶__,6500,¹ì_,2022.12.3 1:40
yeji37,ê¹__,3.68781E+13,VISA 19 digit,21870569,ë¯¿ì_ì¹´ì_,"37.4861, 126.9344",¸í_ë£(_³µ1ë²),3900,¹ì_,2022.12.2 19:53
gimcaeweon,ë°_,3.57248E+15,American Express,24387449,´ì___,"37.4536, 126.9094",´ë_,8000,¹ì_,2022.12.3 22:30
boramha,ë°°í_,4.19768E+12,American Express,25570897,__ë¶__,"37.4995, 127.0537",ë¹__ë°,4000,¹ì_,2022.12.5 7:39
hanhyeonjeong,ìµ__,3.53139E+15,Discover,24361113,ë°±ë___,"37.5583, 127.1689",__ì§ «ë_ê·,1500,¹ì_,2022.11.30 18:33
kbag,ê¹_,3.04363E+13,Discover,25800049,¤ì_,"37.455, 126.9001",ì¹´ë_°¥+°ë_,6000,¹ì_,2022.11.30 17:48
ki,__,3.43595E+14,JCB 16 digit,16995460,ê¼¬ê¼¬__,"37.5441, 126.8367",ì»¤í_,5000,¹ì_,2022.12.5 11:59
jongsucoe,ê¹ë¯¼ì,4.50309E+15,JCB 15 digit,28287804,¤ë___ë¦°ì_ì§,"37.5668, 126.8493",__ë¶,6000,¹ì_,2022.12.1 15:24
yryu,´ì_,4.59335E+15,VISA 16 digit,12242857,ë³´ë¥ì_êµ,"37.5707, 126.9999",ì§__ë©,5000,¹ì_,2022.11.28 20:17
baghaeun,ê¹ì§ë¯,3.53481E+15,VISA 19 digit,17463970,____¤ì_,"37.5235, 126.9058",__ì°__,7000,¹ì_,2022.12.1 10:55
jihuni,ê¹_,3.05261E+13,JCB 15 digit,16173236,____!ë¨¸ë¦¬ë°,"37.5014, 126.8501",ì§¬ë_ ,3000,¹ì_,2022.12.4 22:37
gimsanghyeon,_,3.54541E+15,Mastercard,12042791,ë§¤ê±°ì§,"37.5583, 126.935",___°¥,7000,¹ì_,2022.11.30 5:41
cgim,ê¹ë¯¼ì,3.52566E+15,Diners Club / Carte Blanche,25667681,ì²_°ê_¥ì_,"37.4431, 127.0561",ë¶__ê¸°ë°±ë°,5000,¹ì_,2022.12.3 7:46
qbag,ìµ__ì¤,2.13152E+14,VISA 16 digit,24417350,______µì_,"37.5284, 126.9998",_£¼ë¹__ë°,7500,¹ì_,2022.11.28 12:00
igim,´ì_,4.06886E+15,Discover,24151918,¼í___,"37.5138, 127.0415",´ì_êµ,7000,¹ì_,2022.11.29 6:11
ansanghun,¤ì,4.30763E+12,American Express,19987487,__¬ë___ì§__ë¹,"37.5385, 127.1377",__,25000,¹ì_,2022.12.1 14:33
hyeonjuncoe,ê¹__,3.52412E+15,VISA 19 digit,25645620,ë°°ì_¨ë_ë¹__31__¤ê±°ë¦¬ì_,"37.5198, 126.8534",¤ì_´í___ ,11000,¹ì_,2022.12.2 5:44
jeongsubag,ë°°ì_,4.59385E+12,VISA 16 digit,15709954,¤í_ë¦¿í´ì_,"37.5535, 127.0707",__ë¦¬ì¹´,2000,¹ì_,2022.12.3 20:15
gsong,ê¹±í_,6.01176E+15,Maestro,25744953,ë°_ë·°í_,"37.5412, 127.1261",ì»¤í_,8000,¹ì_,2022.12.2 5:14
bgim,ê¹ëª__,4.33874E+15,VISA 16 digit,20668234,_¸ì_,"37.4682, 126.9455",__,25000,¹ì_,2022.12.5 11:14
coeyeongja,__,4.71514E+15,VISA 16 digit,12289556,NY,"37.5707, 127.0073",__ê¸,9900,¹ì_,2022.12.5 20:05
yeonggilgim,_,4.71042E+15,Maestro,22416854,´ì_ì§__,"37.5889, 127.0926",ê¹ì¹__ê°,6000,¹ì_,2022.11.29 10:56
haeunryu,ê¹ë¯¸ì_,3.41748E+14,JCB 16 digit,12057744,¬ë_´êµ¬¤ì²­´í__·¸___,"37.5212, 127.0496",ì¹¼êµ­,3000,¹ì_,2022.11.30 19:23
gimyejin,ë¯¼ì,4.36957E+15,Mastercard,16032964,êµ¬ì_ì£¼ë©´¼ì,"37.5399, 126.9914",__ê´__,2000,¹ì_,2022.12.1 21:21
useo,©ì_,2.23665E+15,Maestro,16412401,ë§__ê³µë°©,"37.5032, 127.0366",__ë£,3000,¹ì_,2022.12.3 2:30
isugja,ê¹__,3.53457E+15,American Express,12059504,ë§__ë¶___¦¬,"37.5507, 127.1246",__ì°__,5000,¹ì_,2022.12.3 15:23
sugjayun,´ì_ì§,4.97731E+12,JCB 16 digit,20020199,____,"37.5704, 127.0386",ì°¨ë_ë°__(150g),9900,¹ì_,2022.11.30 23:07
minjibag,´ì_,6.30495E+11,Diners Club / Carte Blanche,20688681,êµ__ì¹____,"37.6499, 127.0622",¡êµ­,6000,¹ì_,2022.12.1 23:31
yeongja67,´í_,6.01198E+15,VISA 16 digit,22480811,_³µ__,"37.5232, 126.8517",__ì°__,6000,¹ì_,2022.12.5 18:03
iu,__,4.1668E+12,VISA 13 digit,16607580,ë°±í_¤ë,"37.4917, 127.0125",¤ë_,6000,¹ì_,2022.11.28 21:26
donghyeon37,´ê²½,4.17183E+18,JCB 16 digit,21590488,__,"37.6624, 127.0242",__ë¶,6000,¹ì_,2022.12.3 20:23
ijeongsu,©ì,3.89055E+13,JCB 15 digit,20809613,ê·¸ë__¦¬ëª¨ë_´ì_ë­,"37.5278, 127.0304",__ë©,4000,¹ì_,2022.12.3 1:04
nameunyeong,__ì²,4.22302E+12,Discover,11795890,100__ê¿__ì£¼í_ë¬¼í_,"37.5357, 127.1472",ê¸__ë©__ __,5000,¹ì_,2022.12.1 22:10
caeweon32,ë¥__,60470683701,Discover,20807932,ê³µì°¨ê±´ë,"37.5417, 127.0712",´ë¬µ(4ê°),2000,¹ì_,2022.12.1 0:23
jgim,ê¹°ì_,2.47474E+15,VISA 16 digit,25808608,ì§_³µ__ë¡__¤ì___¤ì¹´,"37.5165, 127.0366",¤ë___,7000,¹ì_,2022.11.30 19:12
jaehyeon66,´ì_,2.13163E+14,VISA 16 digit,24612524,¼ì___,"37.5653, 126.9171",_©´,3500,¹ì_,2022.11.30 8:23
yujin07,ê¹_£¼,6.56461E+15,VISA 13 digit,16438025,¨ë_ìµ___·ì»´,"37.616, 127.019",¡ë³¶,1500,¹ì_,2022.11.28 22:37
gimjeongsug,ê³__,3.51812E+15,VISA 13 digit,22951931,ìµ__ë¯¸ì_,"37.6146, 127.0243",_,4500,¹ì_,2022.12.3 7:15
cjang,ê¹__,3.51041E+15,JCB 16 digit,24511088,ìº__ì½_¦¬__ì»,"37.5409, 127.0147",ë§¤ì_,30000,¹ì_,2022.11.28 23:03
ngim,_,6.59882E+15,VISA 13 digit,25533251,GS25,"37.5153, 127.1103",¸í_ë£,6000,¹ì_,2022.12.2 22:36
hasujin,__ê¸,2.13179E+14,VISA 19 digit,20017062,¸ë_¼ë_ë¸,"37.5637, 126.9223",°ë___ì°__,6000,¹ì_,2022.11.30 9:13
zbag,__,3.53563E+15,VISA 16 digit,16612606,__ì¹__¸í_ì¹____,"37.5638, 126.9219",¤ê¹¨__ë¹,6500,¹ì_,2022.11.28 10:04
xi,ê°_,6.56924E+15,VISA 13 digit,16264898,__,"37.5064, 127.0068",ì»¤í_,10000,¹ì_,2022.11.30 10:34
mcoe,ê¹±ë,6.39042E+11,Discover,14307799,¼ì_ê³µì_ì¤__¬ì_ë¬´ì_,"37.4703, 126.9204",__êµ_,4000,¹ì_,2022.11.30 7:23
baegminseo,ê¹__,6.76113E+11,VISA 16 digit,20849547,ê¸°í__,"37.5083, 126.9983",ì§__ë©,3000,¹ì_,2022.12.5 0:32
iyeweon,ë°±ì_,1.80078E+14,VISA 16 digit,16159436,____ë¦¬í_,"37.5737, 126.9886",__ë¦¬ì¹´,2000,¹ì_,2022.11.30 14:21
ogsun29,ë°__,3.54841E+15,Discover,15653967,ë¹____¸ì_´í_,"37.4958, 127.0148",__ê²¹ì_(180g),12000,¹ì_,2022.11.30 8:33
hongseonghyeon,´ì_,6.39068E+11,Diners Club / Carte Blanche,25618116,__,"37.4557, 126.9009",_,6000,¹ì_,2022.12.4 0:50
igim,©ë,4.58764E+15,VISA 16 digit,20015706,__ë°__ë§__,"37.6598, 127.0733",¨ë°±ì§__,50000,¹ì_,2022.12.3 20:14
areumgim,ê¹¹í_,3.55928E+15,VISA 16 digit,22370251,____,"37.6024, 126.9105",_©´,5000,¹ì_,2022.12.3 4:08
seoyeongcoe,ê¹ì§,3.4507E+14,VISA 19 digit,22417067,__ê³µì_,"37.5418, 127.0488", ê°__ ,6000,¹ì_,2022.12.1 3:44
si,__,6.76315E+11,VISA 16 digit,24339737,¤ì_,"37.5604, 126.9789",ì»¤í_,8000,¹ì_,2022.12.2 11:55
gimjunho,ìµ__ì²,4.73015E+18,JCB 16 digit,20777071,ì§_²½¤ì_,"37.4902, 126.9082",_,4900,¹ì_,2022.12.2 10:05
yeongsuncoe,ë°__ì£,5.03894E+11,Discover,25013503,ì¤_¦¬__êµ__,"37.5314, 127.1236",ë¹__ë°,4000,¹ì_,2022.11.28 16:52
tgim,ê¹__,5.5219E+15,Mastercard,16025890,CNNCAFE,"37.4992, 127.0275",´ì_ë£,7000,¹ì_,2022.12.4 11:54
anjongsu,´ì_,6.7628E+11,JCB 15 digit,19979984,__ì¹¼êµ­,"37.533, 126.8596",¤ë__°¥,8000,¹ì_,2022.11.28 21:43
idoyun,©ì_,1.80058E+14,Diners Club / Carte Blanche,16585540,¬ë_´í_,"37.5284, 126.8478",ê¹ì¹__ê°,6000,¹ì_,2022.11.29 4:28
lan,ë¬¸ì£¼,3.57405E+15,JCB 16 digit,22414104,__,"37.5833, 127.0418",____(180g),13000,¹ì_,2022.12.5 16:20
doyun75,¡ê±´,3.42489E+14,VISA 13 digit,22553202,´í_¬ì_¸í_ë¦¬ì_,"37.4873, 127.1031",ë¯¸ì_êµ,7000,¹ì_,2022.12.3 19:52
anhaeun,ê¶__ì§,4.13632E+15,VISA 16 digit,22548103,±ì_±ê¤ë³´¼ë_,"37.4998, 126.9427",ì»¤í_,6000,¹ì_,2022.12.2 11:26
